GENENAME,ENTREZID,Time,Score
TRP4,851956,T0,0.48665267
CAP1,853862,T0,0.4856485
REX4,854075,T0,0.48545027
OPY1,852426,T0,0.48510158
SPE2,854105,T0,0.4848879
SNU13,856687,T0,0.48479474
RAS1,854268,T0,0.4841274
NA,853802,T0,0.4840823
MSP1,852915,T0,0.48329
MTG2,856573,T0,0.4823685
ARB1,856758,T0,0.48233494
MSL5,850807,T0,0.48033497000000003
HTL1,850384,T0,0.47873828
HIS2,850581,T0,0.47803146
MAK31,850383,T0,0.47724372
CPA2,853573,T0,0.47680762
TAF14,855974,T0,0.47609782
CBF1,853523,T0,0.47575635
MRPL9,853135,T0,0.4754569
IVY1,851815,T0,0.4746806
NA,853014,T0,0.47397012
TOM22,855592,T0,0.47170734
ETR1,852314,T0,0.46855086
TAF6,852766,T0,0.4679773
AYR1,854682,T0,0.46720886
TRP1,851570,T0,0.46719125
PXL1,853965,T0,0.46677262
RPN7,856223,T0,0.46672902
NUP100,853796,T0,0.46608168
IPP1,852296,T0,0.46569157
BEM1,852499,T0,0.4638675
SNZ1,855121,T0,0.4623285
CDC36,851389,T0,0.46223372
ADH1,854068,T0,0.4619956
SOK1,851569,T0,0.46150172
HUB1,855767,T0,0.46138012
NDC1,854977,T0,0.4612643
HCR1,850889,T0,0.459393
SOK2,855030,T0,0.4593274
BEM2,856899,T0,0.45908046
PXP2,853575,T0,0.45823145
HIF1,850638,T0,0.45794424
PHO88,852403,T0,0.4571424
DBP5,854211,T0,0.45546377
YAP1802,853157,T0,0.455456
DHH1,851394,T0,0.45353138
SHM1,852565,T0,0.4526297
CDC12,856507,T0,0.45056304
CPR3,854897,T0,0.4499661
CCT4,851412,T0,0.44937474
OSH6,853872,T0,0.4484423
SEC13,850905,T0,0.44794703
GOR1,855447,T0,0.44792777
SAC1,853668,T0,0.44702393
CYR1,853452,T0,0.44626424
NOB1,854221,T0,0.44576657
TMA108,854669,T0,0.44531894
